,settlementDate,settlementPeriod,powerSystemResourceType,quantity
459,2018-10-20,42,"""Hydro Run-of-river and poundage""",659
460,2018-10-20,42,"""Hydro Pumped Storage""",447
461,2018-10-20,42,"""Biomass""",1768
462,2018-10-20,43,"""Solar""",2
463,2018-10-20,43,"""Wind Offshore""",1132.125
464,2018-10-20,43,"""Wind Onshore""",3311.295
465,2018-10-20,43,"""Other""",76
466,2018-10-20,43,"""Nuclear""",5382
467,2018-10-20,43,"""Fossil Oil""",0
468,2018-10-20,43,"""Fossil Gas""",15066
469,2018-10-20,43,"""Fossil Hard coal""",521
470,2018-10-20,43,"""Hydro Run-of-river and poundage""",579
471,2018-10-20,43,"""Hydro Pumped Storage""",500
472,2018-10-20,43,"""Biomass""",1762
473,2018-10-20,44,"""Solar""",0
474,2018-10-20,44,"""Wind Offshore""",1167.956
475,2018-10-20,44,"""Wind Onshore""",3394.577
476,2018-10-20,44,"""Other""",64
477,2018-10-20,44,"""Nuclear""",5384
478,2018-10-20,44,"""Fossil Oil""",0
479,2018-10-20,44,"""Fossil Gas""",14123
480,2018-10-20,44,"""Fossil Hard coal""",515
481,2018-10-20,44,"""Hydro Run-of-river and poundage""",563
482,2018-10-20,44,"""Hydro Pumped Storage""",317
483,2018-10-20,44,"""Biomass""",1767
484,2018-10-20,45,"""Solar""",0
485,2018-10-20,45,"""Wind Offshore""",1167.482
486,2018-10-20,45,"""Wind Onshore""",3310.529
487,2018-10-20,45,"""Other""",65
488,2018-10-20,45,"""Nuclear""",5380
489,2018-10-20,45,"""Fossil Oil""",0
490,2018-10-20,45,"""Fossil Gas""",14043
491,2018-10-20,45,"""Fossil Hard coal""",0
492,2018-10-20,45,"""Hydro Run-of-river and poundage""",471
493,2018-10-20,45,"""Hydro Pumped Storage""",158
494,2018-10-20,45,"""Biomass""",1768
495,2018-10-20,46,"""Solar""",0
496,2018-10-20,46,"""Wind Offshore""",1146.14
497,2018-10-20,46,"""Wind Onshore""",3173.445
498,2018-10-20,46,"""Other""",65
499,2018-10-20,46,"""Nuclear""",5384
500,2018-10-20,46,"""Fossil Oil""",0
501,2018-10-20,46,"""Fossil Gas""",13087
502,2018-10-20,46,"""Fossil Hard coal""",0
503,2018-10-20,46,"""Hydro Run-of-river and poundage""",546
504,2018-10-20,46,"""Hydro Pumped Storage""",265
505,2018-10-20,46,"""Biomass""",1768
506,2018-10-20,47,"""Solar""",0
507,2018-10-20,47,"""Wind Offshore""",1272.055
508,2018-10-20,47,"""Wind Onshore""",2976.131
509,2018-10-20,47,"""Other""",66
510,2018-10-20,47,"""Nuclear""",5388
511,2018-10-20,47,"""Fossil Oil""",0
512,2018-10-20,47,"""Fossil Gas""",12184
513,2018-10-20,47,"""Fossil Hard coal""",0
514,2018-10-20,47,"""Hydro Run-of-river and poundage""",546
515,2018-10-20,47,"""Hydro Pumped Storage""",0
516,2018-10-20,47,"""Biomass""",1766
517,2018-10-20,48,"""Solar""",0
518,2018-10-20,48,"""Wind Offshore""",1213.776
519,2018-10-20,48,"""Wind Onshore""",3100.37
520,2018-10-20,48,"""Other""",65
521,2018-10-20,48,"""Nuclear""",5317
522,2018-10-20,48,"""Fossil Oil""",0
523,2018-10-20,48,"""Fossil Gas""",10619
524,2018-10-20,48,"""Fossil Hard coal""",0
525,2018-10-20,48,"""Hydro Run-of-river and poundage""",543
526,2018-10-20,48,"""Hydro Pumped Storage""",0
527,2018-10-20,48,"""Biomass""",1769
528,2018-10-21,1,"""Solar""",0
529,2018-10-21,1,"""Wind Offshore""",1172.089
530,2018-10-21,1,"""Wind Onshore""",3294.034
531,2018-10-21,1,"""Other""",66
532,2018-10-21,1,"""Nuclear""",5125
533,2018-10-21,1,"""Fossil Oil""",0
534,2018-10-21,1,"""Fossil Gas""",9468
535,2018-10-21,1,"""Fossil Hard coal""",0
536,2018-10-21,1,"""Hydro Run-of-river and poundage""",544
537,2018-10-21,1,"""Hydro Pumped Storage""",0
538,2018-10-21,1,"""Biomass""",1766
539,2018-10-21,2,"""Solar""",0
540,2018-10-21,2,"""Wind Offshore""",1176.312
541,2018-10-21,2,"""Wind Onshore""",3150.491
542,2018-10-21,2,"""Other""",64
543,2018-10-21,2,"""Nuclear""",4954
544,2018-10-21,2,"""Fossil Oil""",0
545,2018-10-21,2,"""Fossil Gas""",9133
546,2018-10-21,2,"""Fossil Hard coal""",0
547,2018-10-21,2,"""Hydro Run-of-river and poundage""",541
548,2018-10-21,2,"""Hydro Pumped Storage""",0
549,2018-10-21,2,"""Biomass""",1779
550,2018-10-21,3,"""Solar""",0
551,2018-10-21,3,"""Wind Offshore""",1276.664
552,2018-10-21,3,"""Wind Onshore""",2907.288
553,2018-10-21,3,"""Other""",65
554,2018-10-21,3,"""Nuclear""",4922
555,2018-10-21,3,"""Fossil Oil""",0
556,2018-10-21,3,"""Fossil Gas""",9324
557,2018-10-21,3,"""Fossil Hard coal""",0
